Variable,Session_Title,N,Mean,Std,Min,Max,Median,P_Value,Test_Type,Significant
Flight Time,Load Day 2-Beginner,7441,0.49,0.03,0.42,0.54,0.49,0.0,Kruskal-Wallis,***
Flight Time,Load Day 2-Intermediate,15744,0.49,0.04,0.36,0.61,0.48,0.0,Kruskal-Wallis,***
Flight Time,Load Day 3-Advanced,46541,0.58,0.07,0.39,0.7,0.57,0.0,Kruskal-Wallis,***
Flight Time,Load Day 3-Advanced Jump Athletes,4824,0.62,0.07,0.43,0.69,0.63,0.0,Kruskal-Wallis,***
Flight Time,Load Day 3-Advanced Rotation Athletes,6696,0.55,0.04,0.45,0.6,0.57,0.0,Kruskal-Wallis,***
Flight Time,Load Day 3-Intermediate,2148,0.53,0.04,0.43,0.61,0.54,0.0,Kruskal-Wallis,***
Flight Time,Load/Drive Day 1-Advanced,30592,0.58,0.07,0.5,0.7,0.54,0.0,Kruskal-Wallis,***
Flight Time,Load/Drive Day 1-Advanced Rotation Athletes,28740,0.6,0.07,0.45,0.7,0.57,0.0,Kruskal-Wallis,***
Flight Time,Load/Drive Day 1-Beginner,608,0.42,0.02,0.4,0.45,0.42,0.0,Kruskal-Wallis,***
Flight Time,Load/Drive Day 1-Intermediate,1440,0.49,0.02,0.46,0.52,0.49,0.0,Kruskal-Wallis,***
Flight Time,Load/Drive Day 2-Advanced,33192,0.57,0.07,0.47,0.7,0.53,0.0,Kruskal-Wallis,***
Flight Time,Load/Drive Day 2-Advanced Rotation Athletes,27936,0.6,0.08,0.45,0.7,0.57,0.0,Kruskal-Wallis,***
Flight Time,Load/Drive Day 2-Beginner,760,0.42,0.02,0.4,0.45,0.42,0.0,Kruskal-Wallis,***
Flight Time,Load/Drive Day 2-Intermediate,1440,0.49,0.02,0.46,0.52,0.49,0.0,Kruskal-Wallis,***
Flight Time,Load/Drive Day 3-Advanced,12512,0.66,0.04,0.47,0.7,0.67,0.0,Kruskal-Wallis,***
Flight Time,Load/Drive Day 3-Advanced Rotation Athletes,23008,0.61,0.08,0.45,0.7,0.66,0.0,Kruskal-Wallis,***
Flight Time,Load/Explode Day 1-Advanced,261968,0.53,0.06,0.39,1.18,0.52,0.0,Kruskal-Wallis,***
Flight Time,Load/Explode Day 1-Advanced Jump Athletes,22248,0.6,0.03,0.43,0.69,0.6,0.0,Kruskal-Wallis,***
Flight Time,Load/Explode Day 1-Advanced Rotation Athletes,87554,0.57,0.08,0.39,1.18,0.55,0.0,Kruskal-Wallis,***
Flight Time,Load/Explode Day 1-Beginner,856,0.51,0.06,0.36,0.54,0.54,0.0,Kruskal-Wallis,***
Flight Time,Load/Explode Day 1-Intermediate,9547,0.48,0.05,0.36,0.55,0.48,0.0,Kruskal-Wallis,***
Flight Time,Load/Explode Day 2,238345,0.53,0.06,0.39,1.18,0.52,0.0,Kruskal-Wallis,***
Flight Time,Load/Explode Day 2 Jump Athletes,22192,0.6,0.03,0.43,0.62,0.6,0.0,Kruskal-Wallis,***
Flight Time,Load/Explode Day 2 Rotation Athletes,85154,0.57,0.08,0.39,1.18,0.55,0.0,Kruskal-Wallis,***
Flight Time,Load/Explode Day 2-Beginner,936,0.49,0.07,0.36,0.54,0.54,0.0,Kruskal-Wallis,***
Flight Time,Load/Explode Day 2-Intermediate,8492,0.48,0.04,0.4,0.55,0.48,0.0,Kruskal-Wallis,***
Flight Time,Load/Explode Day 3,88307,0.56,0.06,0.39,1.18,0.56,0.0,Kruskal-Wallis,***
Flight Time,Load/Explode Day 3 Jump Athletes,26984,0.6,0.02,0.43,0.62,0.6,0.0,Kruskal-Wallis,***
Flight Time,Load/Explode Day 3 Rotation Athletes,75202,0.57,0.08,0.39,1.18,0.55,0.0,Kruskal-Wallis,***
Flight Time,Load/Explode Day 3-Intermediate,1200,0.48,0.02,0.45,0.5,0.48,0.0,Kruskal-Wallis,***
Flight Time,Medball Circuit Day 1,17953,0.63,0.09,0.5,1.18,0.66,0.0,Kruskal-Wallis,***
Flight Time,Warm UP,1360625,0.54,0.08,0.36,1.18,0.52,0.0,Kruskal-Wallis,***
Flight Time,Week 1 Day 1,2436,0.54,0.0,0.53,0.54,0.54,0.0,Kruskal-Wallis,***
Flight Time,Week 1 Day 4,448,0.57,0.01,0.54,0.6,0.57,0.0,Kruskal-Wallis,***
Flight Time,Week 1 Day 7,448,0.57,0.01,0.54,0.6,0.57,0.0,Kruskal-Wallis,***
Flight Time,Week 2 Day 6,448,0.57,0.01,0.54,0.6,0.57,0.0,Kruskal-Wallis,***
Flight Time,Week 3 Day 4,448,0.57,0.01,0.54,0.6,0.57,0.0,Kruskal-Wallis,***
Flight Time,Week 3 Day 6,448,0.57,0.01,0.54,0.6,0.57,0.0,Kruskal-Wallis,***
Flight Time,Week 4 Day 7,448,0.57,0.01,0.54,0.6,0.57,0.0,Kruskal-Wallis,***
Peak Braking Power,2025-07-29,100,-613.43,75.8,-725.49,-537.55,-595.34,0.0,Kruskal-Wallis,***
Peak Braking Power,Ankle/Foot WarmUp,8085,-849.61,201.96,-1174.88,-500.53,-826.22,0.0,Kruskal-Wallis,***
Peak Braking Power,Drive Day 1-Advanced,71201,-1338.06,505.13,-2605.45,-484.67,-1123.39,0.0,Kruskal-Wallis,***
Peak Braking Power,Drive Day 1-Advanced Jump Athletes,1400,-839.35,148.26,-1126.72,-630.98,-808.76,0.0,Kruskal-Wallis,***
Peak Braking Power,Drive Day 1-Advanced Rotation Athletes,91769,-1419.4,392.99,-2854.84,-513.19,-1382.02,0.0,Kruskal-Wallis,***
Peak Braking Power,Drive Day 1-Intermediate,816,-806.93,107.66,-1035.52,-636.77,-811.89,0.0,Kruskal-Wallis,***
Peak Braking Power,Drive Day 2-Advanced,67966,-1342.33,512.52,-2605.45,-484.67,-1123.39,0.0,Kruskal-Wallis,***
Peak Braking Power,Drive Day 2-Advanced Jump Athletes,2800,-839.35,148.23,-1126.72,-630.98,-808.76,0.0,Kruskal-Wallis,***
Peak Braking Power,Drive Day 2-Advanced Rotation Athletes,76253,-1367.91,354.19,-2854.84,-513.19,-1334.34,0.0,Kruskal-Wallis,***
Peak Braking Power,Drive Day 2-Intermediate,4896,-806.93,107.6,-1035.52,-636.77,-811.89,0.0,Kruskal-Wallis,***
Peak Braking Power,Drive Day 3-Advanced,63673,-1357.29,520.62,-2605.45,-484.67,-1192.64,0.0,Kruskal-Wallis,***
Peak Braking Power,Drive Day 3-Advanced Jump Athletes,1400,-839.35,148.26,-1126.72,-630.98,-808.76,0.0,Kruskal-Wallis,***
Peak Braking Power,Drive Day 3-Advanced Rotation Athletes,23562,-1372.35,513.99,-2854.84,-537.49,-1282.26,0.0,Kruskal-Wallis,***
Peak Braking Power,Drive Day 3-Intermediate,816,-806.93,107.66,-1035.52,-636.77,-811.89,0.0,Kruskal-Wallis,***
Peak Braking Power,Explode Day 1-Advanced,89288,-1449.2,472.57,-2854.84,-465.26,-1469.78,0.0,Kruskal-Wallis,***
Peak Braking Power,Explode Day 1-Advanced Jump Athletes,2736,-1571.36,220.47,-2149.3,-1191.61,-1560.31,0.0,Kruskal-Wallis,***
Peak Braking Power,Explode Day 1-Advanced Rotation Athletes,46293,-894.06,428.57,-3407.84,-465.26,-763.89,0.0,Kruskal-Wallis,***
Peak Braking Power,Explode Day 1-Intermediate,720,-1149.6,244.82,-1410.6,-642.59,-1241.91,0.0,Kruskal-Wallis,***
Peak Braking Power,Explode Day 2-Advanced,86024,-1448.11,494.39,-2854.84,-465.26,-1469.78,0.0,Kruskal-Wallis,***
Peak Braking Power,Explode Day 2-Advanced Jump Athletes,2736,-1571.36,220.47,-2149.3,-1191.61,-1560.31,0.0,Kruskal-Wallis,***
Peak Braking Power,Explode Day 2-Advanced Rotation Athletes,50613,-883.91,415.06,-3407.84,-465.26,-765.09,0.0,Kruskal-Wallis,***
Peak Braking Power,Explode Day 2-Intermediate,544,-1105.83,260.86,-1410.6,-642.59,-1139.29,0.0,Kruskal-Wallis,***
Peak Braking Power,Explode Day 3-Advanced,28664,-1867.24,375.98,-2854.84,-873.53,-1866.92,0.0,Kruskal-Wallis,***
Peak Braking Power,Explode Day 3-Advanced Rotation Athletes,20623,-1118.41,409.42,-2854.84,-636.77,-940.68,0.0,Kruskal-Wallis,***
Peak Braking Power,Fitness Day 1,25548,-1319.1,527.35,-2605.45,-500.53,-1117.07,0.0,Kruskal-Wallis,***
Peak Braking Power,Fitness Day 2,31343,-1461.38,540.74,-2605.45,-492.79,-1491.21,0.0,Kruskal-Wallis,***
Peak Braking Power,Fitness Day 3,27430,-1447.54,566.17,-3407.84,-492.79,-1476.21,0.0,Kruskal-Wallis,***
Peak Braking Power,Fitness Day 4,10821,-1515.7,536.44,-2605.45,-672.79,-1570.47,0.0,Kruskal-Wallis,***
Peak Braking Power,Keira Mirror Work,1344,-450.82,71.52,-587.67,-324.85,-446.94,0.0,Kruskal-Wallis,***
Peak Braking Power,Knee Progression Day 1,348,-706.44,51.26,-783.86,-647.29,-697.3,0.0,Kruskal-Wallis,***
Peak Braking Power,Knee Progression Day 2,1392,-706.44,51.21,-783.86,-647.29,-697.3,0.0,Kruskal-Wallis,***
Peak Braking Power,Knee Progression Day 3,1392,-706.44,51.21,-783.86,-647.29,-697.3,0.0,Kruskal-Wallis,***
Peak Braking Power,Knee Progression Day 4,696,-706.44,51.22,-783.86,-647.29,-697.3,0.0,Kruskal-Wallis,***
Peak Braking Power,Knee Progression Day 5,160,-692.72,136.68,-984.91,-484.67,-721.79,0.0,Kruskal-Wallis,***
Peak Braking Power,Load Day 1-Advanced,120403,-1040.05,459.21,-2605.45,-324.85,-916.5,0.0,Kruskal-Wallis,***
Peak Braking Power,Load Day 1-Advanced Jump Athletes,6624,-856.49,170.81,-1289.59,-500.57,-825.16,0.0,Kruskal-Wallis,***
Peak Braking Power,Load Day 1-Advanced Rotation Athletes,10185,-1011.22,388.89,-1793.93,-324.85,-900.81,0.0,Kruskal-Wallis,***
Peak Braking Power,Load Day 1-Beginner,6376,-824.31,334.25,-1559.16,-275.78,-765.43,0.0,Kruskal-Wallis,***
Peak Braking Power,Load Day 1-Intermediate,17594,-976.27,359.76,-2148.69,-416.56,-921.85,0.0,Kruskal-Wallis,***
Peak Braking Power,Load Day 2-Advanced,117521,-1048.46,460.92,-2605.45,-324.85,-938.53,0.0,Kruskal-Wallis,***
Peak Braking Power,Load Day 2-Advanced Jump Athletes,6516,-858.4,169.31,-1289.59,-500.57,-825.16,0.0,Kruskal-Wallis,***
Peak Braking Power,Load Day 2-Advanced Rotation Athletes,11037,-1017.39,360.79,-1793.93,-324.85,-909.07,0.0,Kruskal-Wallis,***
Peak Braking Power,Load Day 2-Beginner,7441,-779.18,317.75,-1559.16,-275.78,-741.5,0.0,Kruskal-Wallis,***
Peak Braking Power,Load Day 2-Intermediate,15744,-1009.26,357.75,-2148.69,-421.45,-982.14,0.0,Kruskal-Wallis,***
Peak Braking Power,Load Day 3-Advanced,46541,-1189.19,528.38,-2605.45,-472.89,-961.68,0.0,Kruskal-Wallis,***
Peak Braking Power,Load Day 3-Advanced Jump Athletes,4824,-858.62,170.87,-1289.59,-500.57,-825.16,0.0,Kruskal-Wallis,***
Peak Braking Power,Load Day 3-Advanced Rotation Athletes,6696,-1060.41,311.73,-1793.93,-537.49,-964.34,0.0,Kruskal-Wallis,***
Peak Braking Power,Load Day 3-Intermediate,2148,-747.0,131.25,-1177.26,-472.89,-717.57,0.0,Kruskal-Wallis,***
Peak Braking Power,Load/Drive Day 1-Advanced,30592,-1129.83,384.19,-2605.45,-513.19,-1106.06,0.0,Kruskal-Wallis,***
Peak Braking Power,Load/Drive Day 1-Advanced Rotation Athletes,28740,-1417.59,522.05,-2605.45,-484.67,-1452.89,0.0,Kruskal-Wallis,***
Peak Braking Power,Load/Drive Day 1-Beginner,608,-799.7,264.26,-1160.38,-351.55,-801.68,0.0,Kruskal-Wallis,***
Peak Braking Power,Load/Drive Day 1-Intermediate,1440,-689.09,180.56,-936.25,-357.48,-734.2,0.0,Kruskal-Wallis,***
Peak Braking Power,Load/Drive Day 2-Advanced,33192,-1144.55,374.61,-2605.45,-484.67,-1137.26,0.0,Kruskal-Wallis,***
Peak Braking Power,Load/Drive Day 2-Advanced Rotation Athletes,27936,-1461.7,507.14,-2605.45,-484.67,-1491.21,0.0,Kruskal-Wallis,***
Peak Braking Power,Load/Drive Day 2-Beginner,760,-799.7,264.22,-1160.38,-351.55,-801.68,0.0,Kruskal-Wallis,***
Peak Braking Power,Load/Drive Day 2-Intermediate,1440,-689.09,180.56,-936.25,-357.48,-734.2,0.0,Kruskal-Wallis,***
Peak Braking Power,Load/Drive Day 3-Advanced,12512,-1107.03,499.38,-2605.45,-484.67,-877.45,0.0,Kruskal-Wallis,***
Peak Braking Power,Load/Drive Day 3-Advanced Rotation Athletes,23008,-1544.36,505.15,-2605.45,-484.67,-1577.44,0.0,Kruskal-Wallis,***
Peak Braking Power,Load/Explode Day 1-Advanced,261968,-1161.34,427.49,-3407.84,-324.85,-1098.51,0.0,Kruskal-Wallis,***
Peak Braking Power,Load/Explode Day 1-Advanced Jump Athletes,22248,-1395.67,364.11,-2149.3,-472.89,-1502.69,0.0,Kruskal-Wallis,***
Peak Braking Power,Load/Explode Day 1-Advanced Rotation Athletes,87554,-1190.27,579.32,-3407.84,-324.85,-963.13,0.0,Kruskal-Wallis,***
Peak Braking Power,Load/Explode Day 1-Beginner,856,-733.72,84.56,-963.72,-647.29,-717.57,0.0,Kruskal-Wallis,***
Peak Braking Power,Load/Explode Day 1-Intermediate,9547,-1001.42,448.77,-1793.93,-275.78,-871.41,0.0,Kruskal-Wallis,***
Peak Braking Power,Load/Explode Day 2,238345,-1180.02,434.7,-3407.84,-324.85,-1115.79,0.0,Kruskal-Wallis,***
Peak Braking Power,Load/Explode Day 2 Jump Athletes,22192,-1482.14,313.73,-2149.3,-472.89,-1538.54,0.0,Kruskal-Wallis,***
Peak Braking Power,Load/Explode Day 2 Rotation Athletes,85154,-1187.85,574.6,-3407.84,-324.85,-963.13,0.0,Kruskal-Wallis,***
Peak Braking Power,Load/Explode Day 2-Beginner,936,-743.87,91.94,-963.72,-647.29,-717.57,0.0,Kruskal-Wallis,***
Peak Braking Power,Load/Explode Day 2-Intermediate,8492,-999.04,450.11,-1793.93,-275.78,-871.41,0.0,Kruskal-Wallis,***
Peak Braking Power,Load/Explode Day 3,88307,-1160.64,470.71,-2854.84,-472.89,-969.91,0.0,Kruskal-Wallis,***
Peak Braking Power,Load/Explode Day 3 Jump Athletes,26984,-1456.85,322.49,-2149.3,-500.57,-1538.54,0.0,Kruskal-Wallis,***
Peak Braking Power,Load/Explode Day 3 Rotation Athletes,75202,-1236.87,578.07,-3407.84,-492.79,-1001.63,0.0,Kruskal-Wallis,***
Peak Braking Power,Load/Explode Day 3-Intermediate,1200,-1531.55,139.52,-1793.93,-1258.81,-1570.23,0.0,Kruskal-Wallis,***
Peak Braking Power,Medball Circuit Day 1,17953,-1531.45,484.53,-2605.45,-672.79,-1499.2,0.0,Kruskal-Wallis,***
Peak Braking Power,Warm UP,1360625,-1197.82,496.52,-2854.84,-275.78,-1093.36,0.0,Kruskal-Wallis,***
Peak Braking Power,Week 1 Day 1,2436,-706.44,51.2,-783.86,-647.29,-697.3,0.0,Kruskal-Wallis,***
Peak Braking Power,Week 1 Day 4,448,-450.82,71.57,-587.67,-324.85,-446.94,0.0,Kruskal-Wallis,***
Peak Braking Power,Week 1 Day 7,448,-450.82,71.57,-587.67,-324.85,-446.94,0.0,Kruskal-Wallis,***
Peak Braking Power,Week 2 Day 6,448,-450.82,71.57,-587.67,-324.85,-446.94,0.0,Kruskal-Wallis,***
Peak Braking Power,Week 3 Day 4,448,-450.82,71.57,-587.67,-324.85,-446.94,0.0,Kruskal-Wallis,***
Peak Braking Power,Week 3 Day 6,448,-450.82,71.57,-587.67,-324.85,-446.94,0.0,Kruskal-Wallis,***
Peak Braking Power,Week 4 Day 7,448,-450.82,71.57,-587.67,-324.85,-446.94,0.0,Kruskal-Wallis,***
Impulse Ratio,2025-07-29,100,3.95,0.4,3.5,4.53,3.88,0.0,Kruskal-Wallis,***
Impulse Ratio,Ankle/Foot WarmUp,8085,2.36,0.37,1.81,3.39,2.3,0.0,Kruskal-Wallis,***
Impulse Ratio,Drive Day 1-Advanced,71201,2.23,0.44,1.55,3.93,2.19,0.0,Kruskal-Wallis,***
Impulse Ratio,Drive Day 1-Advanced Jump Athletes,1400,3.4,0.3,2.84,3.78,3.52,0.0,Kruskal-Wallis,***
Impulse Ratio,Drive Day 1-Advanced Rotation Athletes,91769,1.88,0.34,1.33,3.56,1.85,0.0,Kruskal-Wallis,***
Impulse Ratio,Drive Day 1-Intermediate,816,2.52,0.36,1.92,3.11,2.42,0.0,Kruskal-Wallis,***
Impulse Ratio,Drive Day 2-Advanced,67966,2.22,0.43,1.55,3.93,2.15,0.0,Kruskal-Wallis,***
Impulse Ratio,Drive Day 2-Advanced Jump Athletes,2800,3.4,0.3,2.84,3.78,3.52,0.0,Kruskal-Wallis,***
Impulse Ratio,Drive Day 2-Advanced Rotation Athletes,76253,1.87,0.35,1.33,3.56,1.83,0.0,Kruskal-Wallis,***
Impulse Ratio,Drive Day 2-Intermediate,4896,2.52,0.36,1.92,3.11,2.42,0.0,Kruskal-Wallis,***
Impulse Ratio,Drive Day 3-Advanced,63673,2.23,0.43,1.55,3.93,2.2,0.0,Kruskal-Wallis,***
Impulse Ratio,Drive Day 3-Advanced Jump Athletes,1400,3.4,0.3,2.84,3.78,3.52,0.0,Kruskal-Wallis,***
Impulse Ratio,Drive Day 3-Advanced Rotation Athletes,23562,2.11,0.35,1.55,3.93,2.03,0.0,Kruskal-Wallis,***
Impulse Ratio,Drive Day 3-Intermediate,816,2.52,0.36,1.92,3.11,2.42,0.0,Kruskal-Wallis,***
Impulse Ratio,Explode Day 1-Advanced,89288,1.98,0.35,1.51,3.56,1.88,0.0,Kruskal-Wallis,***
Impulse Ratio,Explode Day 1-Advanced Jump Athletes,2736,1.73,0.1,1.56,1.95,1.74,0.0,Kruskal-Wallis,***
Impulse Ratio,Explode Day 1-Advanced Rotation Athletes,46293,2.41,0.3,1.59,3.11,2.42,0.0,Kruskal-Wallis,***
Impulse Ratio,Explode Day 1-Intermediate,720,1.77,0.24,1.52,2.31,1.7,0.0,Kruskal-Wallis,***
Impulse Ratio,Explode Day 2-Advanced,86024,2.0,0.34,1.51,3.56,1.95,0.0,Kruskal-Wallis,***
Impulse Ratio,Explode Day 2-Advanced Jump Athletes,2736,1.73,0.1,1.56,1.95,1.74,0.0,Kruskal-Wallis,***
Impulse Ratio,Explode Day 2-Advanced Rotation Athletes,50613,2.42,0.3,1.59,3.11,2.44,0.0,Kruskal-Wallis,***
Impulse Ratio,Explode Day 2-Intermediate,544,1.81,0.26,1.52,2.31,1.8,0.0,Kruskal-Wallis,***
Impulse Ratio,Explode Day 3-Advanced,28664,2.13,0.29,1.56,2.75,2.15,0.0,Kruskal-Wallis,***
Impulse Ratio,Explode Day 3-Advanced Rotation Athletes,20623,2.28,0.32,1.59,3.11,2.3,0.0,Kruskal-Wallis,***
Impulse Ratio,Fitness Day 1,25548,2.34,0.24,1.77,3.39,2.34,0.0,Kruskal-Wallis,***
Impulse Ratio,Fitness Day 2,31343,2.43,0.36,1.77,3.78,2.37,0.0,Kruskal-Wallis,***
Impulse Ratio,Fitness Day 3,27430,2.44,0.38,1.68,3.78,2.37,0.0,Kruskal-Wallis,***
Impulse Ratio,Fitness Day 4,10821,2.37,0.19,1.91,3.03,2.37,0.0,Kruskal-Wallis,***
Impulse Ratio,Keira Mirror Work,1344,3.55,0.32,3.1,4.28,3.48,0.0,Kruskal-Wallis,***
Impulse Ratio,Knee Progression Day 1,348,2.59,0.14,2.42,2.79,2.57,0.0,Kruskal-Wallis,***
Impulse Ratio,Knee Progression Day 2,1392,2.59,0.14,2.42,2.79,2.57,0.0,Kruskal-Wallis,***
Impulse Ratio,Knee Progression Day 3,1392,2.59,0.14,2.42,2.79,2.57,0.0,Kruskal-Wallis,***
Impulse Ratio,Knee Progression Day 4,696,2.59,0.14,2.42,2.79,2.57,0.0,Kruskal-Wallis,***
Impulse Ratio,Knee Progression Day 5,160,2.82,0.45,2.06,3.6,2.8,0.0,Kruskal-Wallis,***
Impulse Ratio,Load Day 1-Advanced,120403,2.34,0.49,1.33,4.53,2.33,0.0,Kruskal-Wallis,***
Impulse Ratio,Load Day 1-Advanced Jump Athletes,6624,3.04,0.63,1.5,3.78,3.02,0.0,Kruskal-Wallis,***
Impulse Ratio,Load Day 1-Advanced Rotation Athletes,10185,2.59,0.59,1.5,4.28,2.47,0.0,Kruskal-Wallis,***
Impulse Ratio,Load Day 1-Beginner,6376,2.16,0.52,1.6,4.2,2.0,0.0,Kruskal-Wallis,***
Impulse Ratio,Load Day 1-Intermediate,17594,2.06,0.42,1.33,3.75,1.97,0.0,Kruskal-Wallis,***
Impulse Ratio,Load Day 2-Advanced,117521,2.32,0.49,1.33,4.53,2.33,0.0,Kruskal-Wallis,***
Impulse Ratio,Load Day 2-Advanced Jump Athletes,6516,3.08,0.59,1.5,3.78,3.15,0.0,Kruskal-Wallis,***
Impulse Ratio,Load Day 2-Advanced Rotation Athletes,11037,2.56,0.51,1.81,4.28,2.47,0.0,Kruskal-Wallis,***
Impulse Ratio,Load Day 2-Beginner,7441,2.17,0.48,1.6,4.2,2.03,0.0,Kruskal-Wallis,***
Impulse Ratio,Load Day 2-Intermediate,15744,2.05,0.44,1.33,3.75,1.95,0.0,Kruskal-Wallis,***
Impulse Ratio,Load Day 3-Advanced,46541,2.52,0.46,1.5,4.53,2.46,0.0,Kruskal-Wallis,***
Impulse Ratio,Load Day 3-Advanced Jump Athletes,4824,3.01,0.62,1.5,3.78,3.02,0.0,Kruskal-Wallis,***
Impulse Ratio,Load Day 3-Advanced Rotation Athletes,6696,2.46,0.4,1.81,3.93,2.44,0.0,Kruskal-Wallis,***
Impulse Ratio,Load Day 3-Intermediate,2148,2.6,0.33,2.16,3.75,2.5,0.0,Kruskal-Wallis,***
Impulse Ratio,Load/Drive Day 1-Advanced,30592,2.36,0.74,1.51,3.78,2.31,0.0,Kruskal-Wallis,***
Impulse Ratio,Load/Drive Day 1-Advanced Rotation Athletes,28740,2.3,0.32,1.51,3.6,2.33,0.0,Kruskal-Wallis,***
Impulse Ratio,Load/Drive Day 1-Beginner,608,2.24,0.68,1.7,3.81,2.03,0.0,Kruskal-Wallis,***
Impulse Ratio,Load/Drive Day 1-Intermediate,1440,2.17,0.46,1.7,3.34,1.97,0.0,Kruskal-Wallis,***
Impulse Ratio,Load/Drive Day 2-Advanced,33192,2.27,0.71,1.51,3.78,2.21,0.0,Kruskal-Wallis,***
Impulse Ratio,Load/Drive Day 2-Advanced Rotation Athletes,27936,2.28,0.32,1.51,3.6,2.33,0.0,Kruskal-Wallis,***
Impulse Ratio,Load/Drive Day 2-Beginner,760,2.24,0.68,1.7,3.81,2.03,0.0,Kruskal-Wallis,***
Impulse Ratio,Load/Drive Day 2-Intermediate,1440,2.17,0.46,1.7,3.34,1.97,0.0,Kruskal-Wallis,***
Impulse Ratio,Load/Drive Day 3-Advanced,12512,3.02,0.53,2.02,3.78,2.99,0.0,Kruskal-Wallis,***
Impulse Ratio,Load/Drive Day 3-Advanced Rotation Athletes,23008,2.35,0.23,1.81,3.6,2.33,0.0,Kruskal-Wallis,***
Impulse Ratio,Load/Explode Day 1-Advanced,261968,2.1,0.48,1.33,4.28,2.0,0.0,Kruskal-Wallis,***
Impulse Ratio,Load/Explode Day 1-Advanced Jump Athletes,22248,2.02,0.55,1.5,3.78,1.77,0.0,Kruskal-Wallis,***
Impulse Ratio,Load/Explode Day 1-Advanced Rotation Athletes,87554,2.38,0.53,1.55,4.28,2.3,0.0,Kruskal-Wallis,***
Impulse Ratio,Load/Explode Day 1-Beginner,856,2.49,0.26,1.8,2.79,2.5,0.0,Kruskal-Wallis,***
Impulse Ratio,Load/Explode Day 1-Intermediate,9547,2.06,0.52,1.39,4.2,1.98,0.0,Kruskal-Wallis,***
Impulse Ratio,Load/Explode Day 2,238345,2.09,0.49,1.33,4.28,1.99,0.0,Kruskal-Wallis,***
Impulse Ratio,Load/Explode Day 2 Jump Athletes,22192,1.85,0.35,1.5,3.75,1.75,0.0,Kruskal-Wallis,***
Impulse Ratio,Load/Explode Day 2 Rotation Athletes,85154,2.38,0.54,1.55,4.28,2.3,0.0,Kruskal-Wallis,***
Impulse Ratio,Load/Explode Day 2-Beginner,936,2.45,0.28,1.8,2.79,2.5,0.0,Kruskal-Wallis,***
Impulse Ratio,Load/Explode Day 2-Intermediate,8492,2.07,0.51,1.39,4.2,2.0,0.0,Kruskal-Wallis,***
Impulse Ratio,Load/Explode Day 3,88307,2.28,0.45,1.55,3.93,2.27,0.0,Kruskal-Wallis,***
Impulse Ratio,Load/Explode Day 3 Jump Athletes,26984,1.89,0.38,1.5,3.44,1.77,0.0,Kruskal-Wallis,***
Impulse Ratio,Load/Explode Day 3 Rotation Athletes,75202,2.34,0.47,1.55,3.93,2.3,0.0,Kruskal-Wallis,***
Impulse Ratio,Load/Explode Day 3-Intermediate,1200,2.09,0.2,1.81,2.5,2.09,0.0,Kruskal-Wallis,***
Impulse Ratio,Medball Circuit Day 1,17953,2.31,0.28,1.55,3.03,2.34,0.0,Kruskal-Wallis,***
Impulse Ratio,Warm UP,1360625,2.21,0.49,1.33,4.53,2.14,0.0,Kruskal-Wallis,***
Impulse Ratio,Week 1 Day 1,2436,2.59,0.14,2.42,2.79,2.57,0.0,Kruskal-Wallis,***
Impulse Ratio,Week 1 Day 4,448,3.55,0.32,3.1,4.28,3.48,0.0,Kruskal-Wallis,***
Impulse Ratio,Week 1 Day 7,448,3.55,0.32,3.1,4.28,3.48,0.0,Kruskal-Wallis,***
Impulse Ratio,Week 2 Day 6,448,3.55,0.32,3.1,4.28,3.48,0.0,Kruskal-Wallis,***
Impulse Ratio,Week 3 Day 4,448,3.55,0.32,3.1,4.28,3.48,0.0,Kruskal-Wallis,***
Impulse Ratio,Week 3 Day 6,448,3.55,0.32,3.1,4.28,3.48,0.0,Kruskal-Wallis,***
Impulse Ratio,Week 4 Day 7,448,3.55,0.32,3.1,4.28,3.48,0.0,Kruskal-Wallis,***
Positive Net Impulse,2025-07-29,100,246.4,2.66,243.38,249.93,246.15,0.0,Kruskal-Wallis,***
Positive Net Impulse,Ankle/Foot WarmUp,8085,237.14,23.88,199.45,274.61,235.68,0.0,Kruskal-Wallis,***
Positive Net Impulse,Drive Day 1-Advanced,71201,297.79,65.05,204.46,398.29,283.27,0.0,Kruskal-Wallis,***
Positive Net Impulse,Drive Day 1-Advanced Jump Athletes,1400,272.0,9.44,254.37,290.97,272.13,0.0,Kruskal-Wallis,***
Positive Net Impulse,Drive Day 1-Advanced Rotation Athletes,91769,278.05,44.59,204.46,398.29,261.52,0.0,Kruskal-Wallis,***
Positive Net Impulse,Drive Day 1-Intermediate,816,246.69,7.84,234.47,262.59,246.34,0.0,Kruskal-Wallis,***
Positive Net Impulse,Drive Day 2-Advanced,67966,297.73,66.04,204.46,398.29,283.27,0.0,Kruskal-Wallis,***
Positive Net Impulse,Drive Day 2-Advanced Jump Athletes,2800,272.0,9.44,254.37,290.97,272.13,0.0,Kruskal-Wallis,***
Positive Net Impulse,Drive Day 2-Advanced Rotation Athletes,76253,271.63,38.92,204.46,396.36,261.33,0.0,Kruskal-Wallis,***
Positive Net Impulse,Drive Day 2-Intermediate,4896,246.69,7.84,234.47,262.59,246.34,0.0,Kruskal-Wallis,***
Positive Net Impulse,Drive Day 3-Advanced,63673,299.7,66.22,204.46,398.29,283.88,0.0,Kruskal-Wallis,***
